item_id:token_seq	title:token_seq	topic:token_seq	sub_topic:token_seq	difficulty:token
DSA04004	GẤP ĐÔI DÃY SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04005	DÃY XÂU FIBONACCI	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04010	DÃY CON LIÊN TIẾP CÓ TỔNG LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04015	TÍNH FLOOR(X)	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04016	PHẦN TỬ THỨ K	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04017	PHẦN TỬ KHÁC NHAU	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04018	ĐẾM SỐ 0	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04020	TÌM KIẾM NHỊ PHÂN	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04021	DÃY XÂU NHỊ PHÂN	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04022	KÝ TỰ THỨ K TRONG XÂU	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04024	LŨY THỪA MA TRẬN 2	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04025	DÃY SỐ VÔ HẠN	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA04035	TÍNH LŨY THỪA	CÁC MÔ HÌNH THUẬT TOÁN	Chia và trị	1
DSA05001	XÂU CON CHUNG DÀI NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05004	DÃY CON TĂNG DÀI NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05005	SỐ BƯỚC ÍT NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05008	DÃY CON CÓ TỔNG BẰNG S	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05009	TẬP CON BẰNG NHAU	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	1
DSA05012	TỔ HỢP C(n, k)	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05013	BẬC THANG	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05025	CON ẾCH	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05026	XEM PHIM	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05027	CÁI TÚI	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05029	GIẢI MÃ	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA05034	TỔNG SỐ CÁCH DI CHUYỂN	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSA06001	SẮP XẾP XEN KẼ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06002	SẮP XẾP THEO GIÁ TRỊ TUYỆT ĐỐI	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06003	ĐỔI CHỖ ÍT NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06004	HỢP VÀ GIAO CỦA HAI DÃY SỐ 1	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06005	HỢP VÀ GIAO CỦA HAI DÃY SỐ 2	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06006	SẮP XẾP [0 1 2]	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06007	SẮP XẾP DÃY CON LIÊN TỤC	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06008	ĐẾM CẶP	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06009	CẶP SỐ TỔNG BẰNG K	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06010	SẮP XẾP CHỮ SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06011	TỔNG GẦN 0 NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06012	PHẦN TỬ LỚN NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06013	SỐ LẦN XUẤT HIỆN	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06014	TỔNG CẶP SỐ NGUYÊN TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06015	MERGE SORT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06016	TÍCH LỚN NHẤT - NHỎ NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06017	TRỘN HAI DÃY	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06018	BỔ SUNG PHẦN TỬ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06019	SẮP XẾP THEO SỐ LẦN XUẤT HIỆN	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06020	TÌM KIẾM	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06021	TÌM KIẾM TRONG DÃY SẮP XẾP VÒNG	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06022	SỐ NHỎ NHẤT VÀ NHỎ THỨ HAI	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06023	SẮP XẾP ĐỔI CHỖ TRỰC TIẾP	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06024	SẮP XẾP CHỌN	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06025	SẮP XẾP CHÈN	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06026	SẮP XẾP NỔI BỌT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06027	SẮP XẾP ĐỔI CHỖ TRỰC TIẾP - LIỆT KÊ NGƯỢC	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06028	SẮP XẾP CHỌN - LIỆT KÊ NGƯỢC	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06029	SẮP XẾP CHÈN - LIỆT KÊ NGƯỢC	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06030	SẮP XẾP NỔI BỌT - LIỆT KÊ NGƯỢC	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06031	PHẦN TỬ LỚN NHẤT TRONG DÃY CON	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06032	BỘ BA SỐ CÓ TỔNG NHỎ HƠN K	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06033	KHOẢNG CÁCH XA NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06034	CẶP SỐ CÓ TỔNG BẰNG K	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06035	DÃY TAM GIÁC DÀI NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06036	BỘ BA SỐ BẰNG K	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06039	SỐ ĐẦU TIÊN BỊ LẶP	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06040	GIAO CỦA BA DÃY SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06041	SỐ XUẤT HIỆN NHIỀU NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06043	ĐIỂM CÂN BẰNG	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06044	SẮP XẾP CHẴN LẺ	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06046	CHÊNH LỆCH NHỎ NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06048	SỐ LẦN QUAY VÒNG	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA06049	ĐẾM CẶP	CÁC MÔ HÌNH THUẬT TOÁN	Sắp xếp - Tìm kiếm	1
DSA07001	NGĂN XẾP 1	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07002	NGĂN XẾP 2	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07003	KIỂM TRA BIỂU THỨC SỐ HỌC	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07004	ĐẾM SỐ DẤU NGOẶC ĐỔI CHIỀU	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07009	BIẾN ĐỔI TIỀN TỐ - TRUNG TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07010	BIẾN ĐỐI TIỀN TỐ - HẬU TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07013	TÍNH GIÁ TRỊ BIỂU THỨC HẬU TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07014	TÍNH GIÁ TRỊ BIỂU THỨC TIỀN TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Ngăn xếp	1
DSA07021	DÃY NGOẶC ĐÚNG DÀI NHẤT	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	1
DSA07023	ĐẢO TỪ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	1
DSA07025	HẬU TỐ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	1
DSA07027	PHẦN TỬ BÊN PHẢI ĐẦU TIÊN LỚN HƠN	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	1
DSA07031	TIỀN TỐ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	1
DSA07110	KIỂM TRA DÃY NGOẶC ĐÚNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Ngăn xếp	1
DSA08001	CẤU TRÚC DỮ LIỆU HÀNG ĐỢI 1	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08002	CẤU TRÚC DỮ LIỆU HÀNG ĐỢI 2	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08003	HÀNG ĐỢI HAI ĐẦU (DEQUEUE)	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08005	SỐ NHỊ PHÂN TỪ 1 ĐẾN N	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08006	SỐ 0 VÀ SỐ 9	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08007	SỐ BDN 1	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08008	SỐ BDN 2	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08017	SỐ LỘC PHÁT 1	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08018	SỐ LỘC PHÁT 2	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08019	SỐ LỘC PHÁT 3	CÁC MÔ HÌNH THUẬT TOÁN	Hàng đợi	1
DSA08021	DI CHUYỂN TRONG MA TRẬN	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Hàng đợi	1
DSA09001	CHUYỂN DANH SÁCH CẠNH SANG DANH SÁCH KỀ	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA09002	CHUYỂN TỪ DANH SÁCH KỀ SANG DANH SÁCH CẠNH	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA09003	BIỂU DIỄN ĐỒ THỊ CÓ HƯỚNG.	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA09004	DFS TRÊN ĐỒ THỊ VÔ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA09005	BFS TRÊN ĐỒ THỊ VÔ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA09013	LIỆT KÊ CẠNH CẦU	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA09020	CHUYỂN DANH SÁCH KỀ SANG MA TRẬN KỀ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA09021	CHUYỂN MA TRẬN KỀ SANG DANH SÁCH KỀ	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA09022	DFS TRÊN ĐỒ THỊ CÓ HƯỚNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA09024	BFS TRÊN ĐỒ THỊ CÓ HƯỚNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA09025	ĐƯỜNG ĐI THEO DFS VỚI ĐỒ THỊ CÓ HƯỚNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA09026	ĐƯỜNG ĐI THEO BFS TRÊN ĐỒ THỊ CÓ HƯỚNG	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA09027	KIỂM TRA ĐƯỜNG ĐI	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Duyệt đồ thị	1
DSA10004	ĐƯỜNG ĐI VÀ CHU TRÌNH EULER VỚI ĐỒ THỊ VÔ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSA10005	CHU TRÌNH EULER TRONG ĐỒ THỊ CÓ HƯỚNG	CÁC MÔ HÌNH THUẬT TOÁN	Duyệt đồ thị	1
DSAKT053	SỐ NGUYÊN LỚN	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSAKT055	BÀI TOÁN CÁI TÚI 0-1	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
DSAKT110	NHÀ KHÔNG KỀ NHAU	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	1
CTDL_003	PHƯƠNG ÁN TỐI ƯU	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
CTDL_004	DÃY CON TĂNG DẦN BẬC K	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA_P016	SẮP XẾP QUÂN HẬU	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA_P029	HÀNH TRÌNH DU LỊCH - 1	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA_P040	CHỌN Ô - 2	CÁC MÔ HÌNH THUẬT TOÁN	Quy hoạch động	2
DSA01009	XÂU AB ĐẶC BIỆT	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01010	TẬP QUÂN SỰ	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01011	HOÁN VỊ TIẾP THEO CỦA CHUỖI SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01012	MÃ GRAY 1	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01013	MÃ GRAY 2	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01014	TẬP HỢP	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01015	TÌM BỘI SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01016	PHÂN TÍCH SỐ 1	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA01017	MÃ GRAY 3	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA02004	DI CHUYỂN TRONG MÊ CUNG 2	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02007	ĐỔI CHỖ CÁC CHỮ SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02008	CHỌN SỐ TỪ MA TRẬN VUÔNG CẤP N	CÁC MÔ HÌNH THUẬT TOÁN	Sinh kế tiếp	2
DSA02010	TỔ HỢP SỐ CÓ TỔNG BẰNG X	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02013	SỐ NGUYÊN TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02017	SẮP XẾP QUÂN HẬU 2	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02025	KÝ TỰ LẶP	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02026	PHÉP TOÁN CƠ BẢN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02032	TỔ HỢP SỐ CÓ TỔNG BẰNG X	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02035	HOÁN VỊ CÁC CHỮ SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02036	DÃY CON CÓ TỔNG LẺ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02037	DÃY CON CÓ TỔNG NGUYÊN TỐ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02038	DÃY CON CÓ K PHẦN TỬ TĂNG DẦN	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02039	PHÂN TÍCH SỐ 2	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA02041	BIẾN ĐỔI VỀ 1	CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN	Quay lui - Nhánh cận	2
DSA02045	TẬP CON CỦA XÂU KÝ TỰ	CÁC MÔ HÌNH THUẬT TOÁN	Quay lui - Nhánh cận	2
DSA03007	GIÁ TRỊ NHỎ NHẤT CỦA BIỂU THỨC	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03009	SẮP XẾP CÔNG VIỆC 2	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03011	NỐI DÂY 2	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03016	SỐ NHỎ NHẤT	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03017	GIÁ TRỊ NHỎ NHẤT CỦA XÂU	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03018	SỐ MAY MẮN	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03019	PHÂN SỐ ĐƠN VỊ	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03020	BIỂU THỨC ĐÚNG	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03021	TÌM DÃY SỐ	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03023	SẮP XẾP VIÊN BI	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
DSA03026	LỰA CHỌN THAM LAM	CÁC MÔ HÌNH THUẬT TOÁN	Giải thuật tham lam	2
