item_id:token	entity_id:token
DSA06006	m.00091
DSA06007	m.00092
DSA06008	m.00093
DSA06009	m.00094
DSA06010	m.00095
DSA06011	m.00096
DSA06012	m.00097
DSA06013	m.00098
DSA06014	m.00099
DSA06015	m.00100
DSA06016	m.00101
DSA06017	m.00102
DSA06018	m.00103
DSA06019	m.00104
DSA06020	m.00105
DSA06021	m.00106
DSA06022	m.00107
DSA06023	m.00108
DSA06024	m.00109
DSA06025	m.00110
DSA06026	m.00111
DSA06027	m.00112
DSA06028	m.00113
DSA06029	m.00114
DSA06030	m.00115
DSA06031	m.00116
DSA06032	m.00117
DSA06033	m.00118
DSA06034	m.00119
DSA06035	m.00120
DSA06036	m.00121
DSA06039	m.00122
DSA06040	m.00123
DSA06041	m.00124
DSA06043	m.00125
DSA06044	m.00126
DSA06046	m.00127
DSA06048	m.00128
DSA06049	m.00129
DSA07001	m.00130
DSA07002	m.00131
DSA07003	m.00132
DSA07004	m.00133
DSA07009	m.00134
DSA07010	m.00135
DSA07013	m.00136
DSA07014	m.00137
DSA07021	m.00138
DSA07023	m.00139
DSA07025	m.00140
DSA07027	m.00141
DSA07031	m.00142
DSA07110	m.00143
DSA08001	m.00144
DSA08002	m.00145
DSA08003	m.00146
DSA08005	m.00147
DSA08006	m.00148
DSA08007	m.00149
DSA08008	m.00150
DSA08017	m.00151
DSA08018	m.00152
DSA08019	m.00153
DSA08021	m.00154
DSA09001	m.00155
DSA09002	m.00156
DSA09003	m.00157
DSA09004	m.00158
DSA09005	m.00159
DSA09013	m.00160
DSA09020	m.00161
DSA09021	m.00162
DSA09022	m.00163
DSA09024	m.00164
DSA09025	m.00165
DSA09026	m.00166
DSA09027	m.00167
DSA10004	m.00168
DSA10005	m.00169
DSAKT053	m.00170
DSAKT055	m.00171
DSAKT110	m.00172
CTDL_003	m.00173
CTDL_004	m.00174
DSA_P016	m.00175
DSA_P029	m.00176
DSA_P040	m.00177
DSA01009	m.00178
DSA01010	m.00179
DSA01011	m.00180
DSA01012	m.00181
DSA01013	m.00182
DSA01014	m.00183
DSA01015	m.00184
DSA01016	m.00185
DSA01017	m.00186
DSA02004	m.00187
DSA02007	m.00188
DSA02008	m.00189
DSA02010	m.00190
DSA02013	m.00191
DSA02017	m.00192
DSA02025	m.00193
DSA02026	m.00194
DSA02032	m.00195
DSA02035	m.00196
DSA02036	m.00197
DSA02037	m.00198
DSA02038	m.00199
DSA02039	m.00200
DSA02041	m.00201
DSA02045	m.00202
DSA03007	m.00203
DSA03009	m.00204
DSA03011	m.00205
DSA03016	m.00206
DSA03017	m.00207
DSA03018	m.00208
DSA03019	m.00209
DSA03020	m.00210
DSA03021	m.00211
DSA03023	m.00212
DSA03026	m.00213
DSA04007	m.00214
DSA04008	m.00215
DSA04009	m.00216
DSA04011	m.00217
DSA04012	m.00218
DSA04013	m.00219
DSA04014	m.00220
DSA04023	m.00221
DSA05003	m.00222
DSA05006	m.00223
DSA05007	m.00224
DSA05014	m.00225
DSA05015	m.00226
DSA05016	m.00227
DSA05017	m.00228
DSA05018	m.00229
DSA05019	m.00230
DSA05020	m.00231
DSA05022	m.00232
DSA05023	m.00233
DSA05024	m.00234
DSA05028	m.00235
DSA05031	m.00236
DSA05035	m.00237
DSA05036	m.00238
DSA05037	m.00239
DSA05038	m.00240
DSA05040	m.00241
DSA05041	m.00242
DSA05043	m.00243
DSA05047	m.00244
DSA06037	m.00245
DSA06038	m.00246
DSA07008	m.00247
DSA07011	m.00248
DSA07012	m.00249
DSA07016	m.00250
DSA07017	m.00251
DSA07019	m.00252
DSA07028	m.00253
DSA07029	m.00254
DSA07041	m.00255
DSA08004	m.00256
DSA08009	m.00257
DSA08025	m.00258
DSA09006	m.00259
DSA09007	m.00260
DSA09008	m.00261
DSA09009	m.00262
DSA09010	m.00263
DSA09011	m.00264
DSA09012	m.00265
DSA09014	m.00266
DSA09015	m.00267
DSA09016	m.00268
DSA09017	m.00269
DSA09018	m.00270
DSA09019	m.00271
DSA09028	m.00272
DSA09029	m.00273
DSA09030	m.00274
DSA09032	m.00275
DSA09033	m.00276
DSA10001	m.00277
DSA10003	m.00278
DSA10006	m.00279
DSA10007	m.00280
DSA11001	m.00281
DSA11002	m.00282
DSA11003	m.00283
DSA11004	m.00284
DSA11005	m.00285
DSA11008	m.00286
DSA11033	m.00287
DSAKT012	m.00288
OLP203	m.00289
TN05009	m.00290
DSA_P097	m.00291
DSA01018	m.00292
DSA02009	m.00293
DSA02011	m.00294
DSA02015	m.00295
DSA02027	m.00296
DSA02028	m.00297
DSA03014	m.00298
DSA03027	m.00299
DSA04006	m.00300
DSA05010	m.00301
DSA05011	m.00302
DSA05021	m.00303
DSA05030	m.00304
DSA05032	m.00305
DSA05033	m.00306
DSA05039	m.00307
DSA05046	m.00308
DSA06045	m.00309
DSA07005	m.00310
DSA07006	m.00311
DSA07007	m.00312
DSA07018	m.00313
DSA07024	m.00314
DSA07030	m.00315
DSA08010	m.00316
DSA08012	m.00317
DSA08020	m.00318
DSA08022	m.00319
DSA08029	m.00320
DSA09031	m.00321
DSA09034	m.00322
DSA09037	m.00323
DSA09049	m.00324
DSA10008	m.00325
DSA10009	m.00326
DSA10011	m.00327
DSA10012	m.00328
DSA10015	m.00329
DSA10017	m.00330
DSA11006	m.00331
DSA11010	m.00332
DSA11011	m.00333
DSA11012	m.00334
DSA11014	m.00335
DSA11015	m.00336
DSA11016	m.00337
DSA11017	m.00338
DSA11018	m.00339
DSA11019	m.00340
DSA11020	m.00341
DSA11021	m.00342
DSA11022	m.00343
DSA11023	m.00344
DSA11024	m.00345
DSA11025	m.00346
DSA11026	m.00347
DSA11027	m.00348
DSA11028	m.00349
DSA11029	m.00350
DSAKT060	m.00351
OLP220	m.00352
DSA_P035	m.00353
DSA02014	m.00354
DSA02018	m.00355
DSA02019	m.00356
DSA02020	m.00357
DSA02021	m.00358
DSA05045	m.00359
DSA07015	m.00360
DSA07022	m.00361
DSA07045	m.00362
DSA08011	m.00363
DSA08013	m.00364
DSA08014	m.00365
DSA08015	m.00366
DSA08045	m.00367
DSA10016	m.00368
DSA11030	m.00369
DSA03033	m.00370
DSA04019	m.00371
DSA04030	m.00372
DSA08016	m.00373
B23DCCE014	u.00001
B24DCVN048	u.00002
B24DCAT051	u.00003
B23DCPT122	u.00004
B23DCAT121	u.00005
B24DCCN071	u.00006
B23DCCN256	u.00007
B24DCVN096	u.00008
B24DCCE097	u.00009
B24DCVN008	u.00010
B24DCVN001	u.00011
B24DCCE288	u.00012
B24DCVN005	u.00013
B24DCTC001	u.00014
B24DCCE031	u.00015
B24DCCE210	u.00016
B24DCCE292	u.00017
B24DCCN606	u.00018
B24DCCE020	u.00019
B24DCDT043	u.00020
B24DCVN011	u.00021
B21DCAT045	u.00022
B24DCCN212	u.00023
B21DCCN222	u.00024
B24DCCN013	u.00025
B20DCVT132	u.00026
B23DCKH067	u.00027
B24DCCE135	u.00028
B24DCCE161	u.00029
B24DCDT116	u.00030
B24DCCE242	u.00031
B23DCCN645	u.00032
B24DCCE234	u.00033
B24DCPT153	u.00034
B24DCCN599	u.00035
B24DCVN110	u.00036
B24DCCE224	u.00037
B24DCCE078	u.00038
B24DCVT167	u.00039
B24DCAT155	u.00040
B24DCCE132	u.00041
B24DCDT025	u.00042
B24DCKH080	u.00043
B24DCCE268	u.00044
B24DCVT370	u.00045
B23DCKH066	u.00046
B24DCDT142	u.00047
B24DCCN477	u.00048
B24DCCE040	u.00049
B20DCDT004	u.00050
B24DCCN431	u.00051
B24DCCN515	u.00052
B24DCCE149	u.00053
B24DCVN034	u.00054
B24DCKD009	u.00055
B24DCAT262	u.00056
B24DCCE274	u.00057
B24DCCE021	u.00058
B24DCCN607	u.00059
B24DCCE049	u.00060
B24DCPT023	u.00061
B24DCVN052	u.00062
B23DCCN297	u.00063
B24DCCE131	u.00064
B24DCCE111	u.00065
B20DCCN055	u.00066
B24DCVN045	u.00067
B24DCDT196	u.00068
B23DCPT334	u.00069
B23DCDK008	u.00070
B24DCVT138	u.00071
B24DCCN502	u.00072
B24DCVN073	u.00073
B24DCAT004	u.00074
B24DCAT060	u.00075
B24DCCE266	u.00076
B24DCCN527	u.00077
B24DCVT384	u.00078
B24DCCN093	u.00079
B24DCVN054	u.00080
B23DCAT246	u.00081
B24DCCE141	u.00082
B24DCCN103	u.00083
B24DCCN278	u.00084
B24DCCN306	u.00085
B23DCAT228	u.00086
B24DCCN455	u.00087
B24DCTC033	u.00088
B24DCVN068	u.00089
B24DCVT200	u.00090
B24DCCE257	u.00091
B24DCVN091	u.00092
B24DCCE085	u.00093
B24DCVN021	u.00094
B24DCCE113	u.00095
B21DCPT125	u.00096
B24DCVT151	u.00097
B23DCCN891	u.00098
B24DCDT033	u.00099
B23DCAT172	u.00100
B24DCVT347	u.00101
B24DCKH093	u.00102
B24DCVN003	u.00103
B24DCPT206	u.00104
B23DCCN320	u.00105
B24DCCN134	u.00106
B24DCKD047	u.00107
B24DCCN270	u.00108
B24DCGA158	u.00109
B24DCCE057	u.00110
B24DCGA145	u.00111
B23DCCN224	u.00112
B22DCDT205	u.00113
B23DCCN580	u.00114
B23DCCN075	u.00115
B24DCCN486	u.00116
B24DCCN572	u.00117
B24DCAT080	u.00118
B24DCKH014	u.00119
B23DCCN991	u.00120
B23DCKD060	u.00121
B23DCDK006	u.00122
B24DCVT291	u.00123
B23DCCN807	u.00124
B24DCPT009	u.00125
B23DCCN920	u.00126
B24DCCN138	u.00127
B23DCDK135	u.00128
B24DCVN037	u.00129
B23DCCN350	u.00130
B23DCPT341	u.00131
B24DCDT012	u.00132
B24DCGA120	u.00133
B24DCPT203	u.00134
B24DCCE176	u.00135
B23DCAT168	u.00136
B24DCCE047	u.00137
B23DCAT109	u.00138
B23DCAT135	u.00139
B23DCCN437	u.00140
B23DCKH019	u.00141
B24DCKD029	u.00142
B24DCCN614	u.00143
B23DCCN998	u.00144
B23DCDK053	u.00145
B24DCCN185	u.00146
B22DCDT244	u.00147
B23DCKH009	u.00148
B24DCVT027	u.00149
B21DCDT021	u.00150
B23DCCN070	u.00151
B24DCCE081	u.00152
B24DCTC037	u.00153
B24DCGA139	u.00154
B24DCVT195	u.00155
B23DCKH083	u.00156
B24DCVT377	u.00157
B20DCAT147	u.00158
B19DCCN073	u.00159
B24DCKH033	u.00160
B24DCCN302	u.00161
B24DCVN086	u.00162
B23DCCN269	u.00163
B23DCAT248	u.00164
B23DCCN663	u.00165
B20DCCN118	u.00166
B23DCCN463	u.00167
B23DCCN493	u.00168
B24DCAT044	u.00169
B24DCCN521	u.00170
B23DCCN332	u.00171
B23DCAT205	u.00172
B24DCDT261	u.00173
B24DCCN330	u.00174
B23DCKH050	u.00175
B24DCVN007	u.00176
B23DCPT021	u.00177
B24DCGA148	u.00178
B24DCAT225	u.00179
B20DCDT165	u.00180
B24DCVT004	u.00181
B24DCCE208	u.00182
B23DCCN946	u.00183
B24DCCN075	u.00184
B23DCAT050	u.00185
B23DVCN195	u.00186
B24DCGA016	u.00187
B23DCCN564	u.00188
B22DCDT104	u.00189
B21DCCN671	u.00190
B23DCCN561	u.00191
B23DCCN182	u.00192
B24DCCE008	u.00193
B23DCCN511	u.00194
B24DCDK066	u.00195
B24DCAT124	u.00196
B22DCCN587	u.00197
B23DCVT107	u.00198
B24DCCE124	u.00199
B19DCCN247	u.00200
B24DCDK055	u.00201
B23DVCN068	u.00202
B23DCKD008	u.00203
B24DCVT356	u.00204
B24DCGA085	u.00205
B23DVCN060	u.00206
B24DCCN444	u.00207
B23DCCN583	u.00208
B24DCVT287	u.00209
B24DCCE117	u.00210
B24DCDT132	u.00211
B22DCDT224	u.00212
B24DCKH062	u.00213
B24DCCN356	u.00214
B23DCCN244	u.00215
B24DCCN595	u.00216
B22DCDT041	u.00217
B23DCAT098	u.00218
B24DCCE139	u.00219
B24DCDT101	u.00220
B23DCAT323	u.00221
B23DCCN872	u.00222
B22DCDT267	u.00223
B24DCKH029	u.00224
B23DCAT167	u.00225
B24DCGA008	u.00226
B23DCKH030	u.00227
B23DCPT237	u.00228
B23DCAT064	u.00229
B24DCDT136	u.00230
B23DCCN691	u.00231
B24DCKH036	u.00232
B23DCAT260	u.00233
B23DCAT279	u.00234
B24DCCN497	u.00235
B24DCCE237	u.00236
B23DCKD011	u.00237
B23DCKH015	u.00238
B23DCAT053	u.00239
B24DCKH110	u.00240
B22DCDT182	u.00241
B23DCPT252	u.00242
B23DCCN484	u.00243
B24DCVT023	u.00244
B23DCCN160	u.00245
B23DCKH098	u.00246
B23DCKH088	u.00247
B24DCAT086	u.00248
B24DCPT062	u.00249
B24DCVN089	u.00250
B22DCDT023	u.00251
B24DCCE027	u.00252
B23DCCN125	u.00253
B23DCCN831	u.00254
B24DCCN119	u.00255
B23DCCN162	u.00256
B23DCCN606	u.00257
B20DCDT007	u.00258
B23DCCN889	u.00259
B24DCDT298	u.00260
B24DCPT170	u.00261
B23DCAT287	u.00262
B23DCCN552	u.00263
B23DCKD081	u.00264
B23DCCN593	u.00265
B23DVCN159	u.00266
B24DCPT052	u.00267
B23DCCN651	u.00268
B23DCDK026	u.00269
B23DCKH054	u.00270
B24DCDT151	u.00271
B24DCAT210	u.00272
B24DCCN562	u.00273
B24DCCE290	u.00274
B24DCCN566	u.00275
B22DCDT088	u.00276
B24DCKH120	u.00277
B24DCVT093	u.00278
B23DCAT136	u.00279
B23DCPT129	u.00280
B23DCPT192	u.00281
B23DCKD080	u.00282
B24DCCE263	u.00283
B23DCCN017	u.00284
B23DCKD071	u.00285
B23DCAT266	u.00286
B23DCCN701	u.00287
B20DCAT202	u.00288
B24DCDT078	u.00289
B23DCCE098	u.00290
B24DCVN002	u.00291
B24DCCN259	u.00292
B23DCCN888	u.00293
B24DCGA030	u.00294
B23DCCN460	u.00295
B22DCDT146	u.00296
B24DCCN505	u.00297
B24DCCN558	u.00298
B24DCCE236	u.00299
B23DCCN165	u.00300
B23DCAT103	u.00301
B24DCVN093	u.00302
B24DCVT142	u.00303
B23DCKH111	u.00304
B23DCCN190	u.00305
B24DCCE255	u.00306
B24DCCN066	u.00307
B24DCCN435	u.00308
B24DCCN078	u.00309
B23DCCN130	u.00310
B24DCVN095	u.00311
B24DCCN549	u.00312
B24DCPT173	u.00313
B24DCVT353	u.00314
B23DCVT209	u.00315
B20DCCN082	u.00316
B24DCCE029	u.00317
B24DCCN022	u.00318
B24DCVT271	u.00319
B24DCCN586	u.00320
B23DCCN247	u.00321
B24DCCE209	u.00322
B24DCVT039	u.00323
B24DCCN169	u.00324
B24DCCN579	u.00325
B23DVCN069	u.00326
B23DCCN873	u.00327
B23DCCN194	u.00328
B23DVCN044	u.00329
B23DCCN156	u.00330
B23DCCN993	u.00331
B23DCPT336	u.00332
B23DCCN005	u.00333
B24DCCE024	u.00334
B24DCGA086	u.00335
B24DCCN402	u.00336
B24DCVT256	u.00337
B24DCTC111	u.00338
B23DVCN004	u.00339
B24DCCE265	u.00340
B24DCVT305	u.00341
B24DCCE006	u.00342
B20DCDT201	u.00343
B24DCVT276	u.00344
B22DCDT075	u.00345
B24DCCN133	u.00346
B23DCAT209	u.00347
B24DCCE010	u.00348
B24DCVN016	u.00349
B24DCVN090	u.00350
B23DCCN694	u.00351
B24DCCN405	u.00352
B24DCVN105	u.00353
B24DCKD064	u.00354
B24DCCE129	u.00355
B24DCAT002	u.00356
B24DCVT125	u.00357
B24DCGA001	u.00358
B23DCCN839	u.00359
B24DCGA006	u.00360
B23DCCN867	u.00361
B23DCKH095	u.00362
B24DCKD042	u.00363
B23DCCN771	u.00364
B23DCCN178	u.00365
B23DCCN697	u.00366
B23DCPT071	u.00367
B22DCDT128	u.00368
B24DCVT393	u.00369
B23DCCN262	u.00370
B22DCDT233	u.00371
B24DCCE163	u.00372
B23DVCN082	u.00373
B20DCCN342	u.00374
B24DCCN532	u.00375
B22DCDT011	u.00376
B23DCAT336	u.00377
B24DCCN250	u.00378
B23DCAT307	u.00379
B24DCKH100	u.00380
B24DCVN027	u.00381
B23DCCN180	u.00382
B23DVCN125	u.00383
B24DCCN381	u.00384
B24DCAT275	u.00385
B24DCCE239	u.00386
B24DCVT145	u.00387
B23DVCN129	u.00388
B24DCVT087	u.00389
B19DCAT032	u.00390
B23DCAT326	u.00391
B23DCCN203	u.00392
B22DCDT215	u.00393
B23DCKD055	u.00394
B23DCKD016	u.00395
B24DCCE182	u.00396
B24DCCE250	u.00397
B23DCDK081	u.00398
B24DCAT020	u.00399
B23DCKH072	u.00400
B24DCVT194	u.00401
B23DCDT260	u.00402
B22DCDT020	u.00403
B23DCCN924	u.00404
B24DCCN277	u.00405
B20DCPT005	u.00406
B23DCCN113	u.00407
B24DCVN066	u.00408
B24DCVT300	u.00409
B23DCKH017	u.00410
B22DCDT021	u.00411
B24DCCE012	u.00412
B23DCAT241	u.00413
B23DCDK048	u.00414
B24DCTC043	u.00415
B24DCTC114	u.00416
B23DCAT337	u.00417
B24DCKH005	u.00418
B21DCPT080	u.00419
B22DCDT064	u.00420
B23DCCN748	u.00421
B23DCCN167	u.00422
B22DCVT525	u.00423
B24DCKH095	u.00424
B24DCCN094	u.00425
B23DCCN188	u.00426
B24DCCN312	u.00427
B24DCVN084	u.00428
B24DCCE013	u.00429
B24DCCE065	u.00430
B24DCVT029	u.00431
B24DCKD011	u.00432
B23DCDK146	u.00433
B23DCCN904	u.00434
B23DCAT250	u.00435
B24DCKD078	u.00436
B23DCCN419	u.00437
B23DCCN293	u.00438
B24DCKH053	u.00439
B24DCTC054	u.00440
B24DCAT130	u.00441
B24DCCE147	u.00442
B24DCCE286	u.00443
B23DCCN926	u.00444
B24DCCE278	u.00445
B23DCKH107	u.00446
B23DVCN017	u.00447
B23DCAT179	u.00448
B23DCAT257	u.00449
B23DCKH091	u.00450
B23DCAT049	u.00451
B23DVCN052	u.00452
B22DCDT222	u.00453
B24DCCN047	u.00454
B23DVCN156	u.00455
B23DCCN345	u.00456
B24DCKD037	u.00457
B23DCCN767	u.00458
B24DCVT349	u.00459
B23DCAT309	u.00460
B24DCKH006	u.00461
B24DCDK042	u.00462
B23DVCN084	u.00463
B23DCCN458	u.00464
B23DCAT102	u.00465
B23DCCN357	u.00466
B24DCDT113	u.00467
B22DCDT212	u.00468
B23DCAT071	u.00469
B23DCCN825	u.00470
B24DCTC057	u.00471
B23DCCN471	u.00472
B24DCCN288	u.00473
B24DCVN079	u.00474
B24DCCE116	u.00475
B24DCCN454	u.00476
B24DCDT013	u.00477
B23DCCN152	u.00478
B24DCPT197	u.00479
B24DCCN269	u.00480
B24DCAT201	u.00481
B24DCVT162	u.00482
B24DCVT310	u.00483
B24DCVN013	u.00484
B24DCAT212	u.00485
B24DCKH075	u.00486
B20DCPT102	u.00487
B24DCKD054	u.00488
B24DCAT205	u.00489
B24DCCN391	u.00490
B23DCKD075	u.00491
B24DCDT125	u.00492
B23DCPT337	u.00493
B21DCDT085	u.00494
B24DCCN219	u.00495
B24DCCN547	u.00496
B24DCCE248	u.00497
B22DCDT326	u.00498
B23DVCN164	u.00499
B23DCCN896	u.00500
B23DCCN274	u.00501
B24DCGA115	u.00502
B22DCDT194	u.00503
B24DCDT238	u.00504
B23DCCN268	u.00505
B22DCDT338	u.00506
B23DCCN280	u.00507
B24DCVN065	u.00508
B24DCAT277	u.00509
B23DCCN081	u.00510
B24DCVN074	u.00511
B24DCKH027	u.00512
B24DCGA082	u.00513
B23DVCN078	u.00514
B23DCCN239	u.00515
B24DCCE213	u.00516
B24DCVN006	u.00517
B23DCCN144	u.00518
B24DCAT180	u.00519
B24DCTC006	u.00520
B24DCAT146	u.00521
B23DCDK120	u.00522
B23DCAT212	u.00523
B24DCDT247	u.00524
B24DCCE005	u.00525
B24DCCE096	u.00526
B24DCCE212	u.00527
B24DCVT221	u.00528
B23DVCN191	u.00529
B23DCVT172	u.00530
B23DCCN803	u.00531
B24DCCE207	u.00532
B24DCCE123	u.00533
B24DCCN464	u.00534
B24DCCN329	u.00535
B23DCCN243	u.00536
B23DCKD007	u.00537
B24DCCN226	u.00538
B24DCKH112	u.00539
B24DCCE195	u.00540
B23DCCN921	u.00541
B24DCPT229	u.00542
B23DCDK052	u.00543
B24DCAT159	u.00544
B23DCCN510	u.00545
B23DCAT054	u.00546
B24DCPT218	u.00547
B24DCCN007	u.00548
B24DCVT318	u.00549
B24DCCN246	u.00550
B24DCKH057	u.00551
B24DCCN390	u.00552
B24DCGA137	u.00553
B22DCDT239	u.00554
B23DCCN364	u.00555
B24DCPT192	u.00556
B24DCCN317	u.00557
B23DCCN430	u.00558
B19DCAT154	u.00559
B24DCAT100	u.00560
B24DCCN097	u.00561
B24DCCN479	u.00562
B24DCCN357	u.00563
B24DCAT017	u.00564
B24DCCN372	u.00565
B24DCVT259	u.00566
B24DCCN353	u.00567
B24DCCN068	u.00568
B24DCCE070	u.00569
B24DCCE167	u.00570
B24DCCE258	u.00571
B24DCTC120	u.00572
B24DCKD036	u.00573
B21DCAT047	u.00574
B24DCCE038	u.00575
B21DVCN095	u.00576
B24DCCN136	u.00577
B24DCCN596	u.00578
B24DCCE090	u.00579
B24DCAT200	u.00580
B24DCKH012	u.00581
B24DCCE062	u.00582
B24DCKH073	u.00583
B24DCCN011	u.00584
B24DCCE056	u.00585
B24DCVN060	u.00586
B24DCCE066	u.00587
B24DCVN051	u.00588
B24DCAT091	u.00589
B24DCAT171	u.00590
B24DCVN041	u.00591
B24DCCE246	u.00592
B24DCCN569	u.00593
B23DCCN235	u.00594
B24DCCN046	u.00595
B24DCCE282	u.00596
B24DCCN286	u.00597
B23DCCN004	u.00598
B24DCPT132	u.00599
B24DCCN581	u.00600
B24DCVN061	u.00601
B23DCDT131	u.00602
B24DCAT111	u.00603
B24DCKH072	u.00604
B24DCCN554	u.00605
B23DCKH127	u.00606
B24DCVT001	u.00607
B24DCVN082	u.00608
B24DCCE052	u.00609
B23DCCN604	u.00610
B24DCAT038	u.00611
B24DCVT346	u.00612
B24DCAT088	u.00613
B23DCVT255	u.00614
B24DCKH040	u.00615
B23DCAT263	u.00616
B23DCCN503	u.00617
B24DCAT073	u.00618
B24DCCN020	u.00619
B23DCCN429	u.00620
B24DCVN067	u.00621
B24DCVN100	u.00622
B23DCCN405	u.00623
B22DCCN408	u.00624
B22DCDT108	u.00625
B23DCAT044	u.00626
B24DCVT170	u.00627
B24DCKD073	u.00628
B23DCPT165	u.00629
B24DCPT223	u.00630
B24DCTC059	u.00631
B23DCAT327	u.00632
B20DCDT121	u.00633
B23DCCN525	u.00634
B23DCCN643	u.00635
B24DCAT029	u.00636
B20DCCN020	u.00637
B24DCCE102	u.00638
B23DCDK072	u.00639
B20DCPT134	u.00640
B23DCDT076	u.00641
B23DCAT303	u.00642
B23DCPT249	u.00643
B23DCCN539	u.00644
B23DCCN069	u.00645
B21DCPT171	u.00646
B24DCVN031	u.00647
B23DCAT310	u.00648
B24DCCN194	u.00649
B17DCCN049	u.00650
B23DCDK058	u.00651
B24DCPT148	u.00652
B23DCAT129	u.00653
B23DCVT103	u.00654
B23DCPT146	u.00655
B23DCAT314	u.00656
B23DCPT034	u.00657
B23DCAT133	u.00658
B23DCAT194	u.00659
B23DCPT180	u.00660
B24DCVT214	u.00661
B23DCCN030	u.00662
B23DCCN150	u.00663
B24DCVT002	u.00664
B24DCDT155	u.00665
B20DCAT082	u.00666
B20DCDT033	u.00667
B24DCPT196	u.00668
B23DCCN911	u.00669
B23DCCN338	u.00670
B20DCPT223	u.00671
B19DCPT017	u.00672
B23DCCN939	u.00673
B23DCDT158	u.00674
B23DCPT260	u.00675
B23DCCN302	u.00676
B24DCVN056	u.00677
B23DCPT006	u.00678
B23DCCN267	u.00679
B23DCAT077	u.00680
B21DCDT007	u.00681
B23DCAT278	u.00682
B24DCCE270	u.00683
B24DCAT151	u.00684
B23DCCN255	u.00685
B23DCAT293	u.00686
B24DCTC093	u.00687
B24DCDT161	u.00688
B24DCAT247	u.00689
B23LKCN001	u.00690
B24DCKH010	u.00691
B23DCCN948	u.00692
B23DCDT148	u.00693
B24DCVT036	u.00694
B20DCDT095	u.00695
B23DCAT139	u.00696
B23DCCE056	u.00697
B23DCCN424	u.00698
B23DCCN020	u.00699
B24DCCN033	u.00700
B24DCCN056	u.00701
B21DCVT457	u.00702
B20DCPT063	u.00703
B23DCDT172	u.00704
B24DCVN036	u.00705
B24DCVT391	u.00706
B24DCCE022	u.00707
B23DCAT329	u.00708
B23DCCN901	u.00709
B23DCCN116	u.00710
B23DCVT356	u.00711
B24DCCE058	u.00712
B22DCCN677	u.00713
B22DCDT230	u.00714
B24DCVT144	u.00715
B24DCDT278	u.00716
B23DCCN464	u.00717
B24DCTC065	u.00718
B24DCDT044	u.00719
B20DCCN571	u.00720
B23DCCN714	u.00721
B23DCDT024	u.00722
B24DCCE203	u.00723
B23DCCN763	u.00724
B23DCPT208	u.00725
B24DCCN271	u.00726
B23DCCN688	u.00727
B23DCCN121	u.00728
B24DCCE202	u.00729
B24DCCE271	u.00730
B20DCDT131	u.00731
B24DCVT283	u.00732
B24DCDK038	u.00733
B23DCPT052	u.00734
B24DCPT183	u.00735
B24DCVT213	u.00736
B18DCAT156	u.00737
B23DCPT195	u.00738
B24DCCE134	u.00739
B23DVCN006	u.00740
B23DCKH020	u.00741
B21DCAT054	u.00742
B23DCAT342	u.00743
B23DCCN455	u.00744
B24DCCN092	u.00745
B23DCAT330	u.00746
B24DCKH022	u.00747
B23DCCN902	u.00748
B23DCCN038	u.00749
B24DCKH126	u.00750
B24DCGA021	u.00751
B23DCAT100	u.00752
B23DCCN175	u.00753
B23DCCN698	u.00754
B23DCKH134	u.00755
B24DCCE011	u.00756
B23DCPT077	u.00757
B23DCDT242	u.00758
